short_name,nationality,overall,player_positions
P. Herrmann,Germany,81,"RM, LM"
Vitolo,Spain,81,LM
Allan,Brazil,81,"CDM, CM"
M. Rojo,Argentina,81,"CB, LB"
T. Walcott,England,81,"RM, ST"
N. Şahin,Turkey,81,"CM, CDM"
R. Fährmann,Germany,81,GK
S. Coleman,Republic of Ireland,81,RB
Éverton Ribeiro,Brazil,81,"CAM, RM"
S. Jovetić,Montenegro,81,"ST, CAM"
M. Kruse,Germany,81,"CF, ST, CAM"
O. Toprak,Turkey,81,CB
Iborra,Spain,81,CDM
Iturraspe,Spain,81,"CDM, CM"
H. Mkhitaryan,Armenia,81,"RM, LM, CAM"
B. Costil,France,81,GK
M. Sakho,France,81,CB
G. Medel,Chile,81,"CDM, CM"
M. Stranzl,Austria,81,CB
Tiago,Portugal,81,"CM, CDM"
A. Cassano,Italy,81,CF
M. Klose,Germany,81,ST
Quaresma,Portugal,81,"RM, LM"
D. Drogba,Ivory Coast,81,ST
Mikel Arteta,Spain,81,"CM, CDM"
T. Motta,Italy,81,CDM
P. Evra,France,81,"LB, LM"
N. de Jong,Netherlands,81,"CDM, CM"
P. Jagielka,England,81,CB
Moyá,Spain,81,GK
D. Benaglio,Switzerland,81,GK
M. Demichelis,Argentina,81,CB
Alex,Brazil,81,CB
Kaká,Brazil,81,"CAM, CF"
Helton,Brazil,81,GK
V. Enyeama,Nigeria,81,GK
D. Srna,Croatia,81,RB
Raffael,Brazil,81,CF
Negredo,Spain,81,ST
Juanfran,Spain,81,RB
I. Akinfeev,Russia,81,GK
A. Gignac,France,81,ST
C. Dempsey,United States,81,ST
Raúl Albiol,Spain,81,CB
J. Ménez,France,81,"CF, LW"
A. Williams,Wales,81,CB
M. Škrtel,Slovakia,81,CB
G. Castro,Germany,81,"CM, CDM, RM, RB"
José Fonte,Portugal,81,CB
L. Piszczek,Poland,81,RB
M. Valbuena,France,81,"CAM, RW"
D. Payet,France,81,"CAM, LM"
B. Trémoulinas,France,81,LB
Kiko Casilla,Spain,81,GK
O. Giroud,France,81,ST
L. Rémy,France,81,ST
E. Džeko,Bosnia Herzegovina,81,ST
M. Cáceres,Uruguay,81,"CB, RB"
A. Chedjou,Cameroon,81,CB
M. Parolo,Italy,81,"CM, CDM"
Bruno,Spain,81,"CDM, CM"
S. Giovinco,Italy,81,"CF, ST"
José Callejón,Spain,81,CAM
D. Subašić,Croatia,81,GK
Paco Alcácer,Spain,80,"ST, CF"
L. Kurzawa,France,80,LB
Q. Promes,Netherlands,80,"RW, RM, LW"
M. Salah,Egypt,80,RW
André Gomes,Portugal,80,"CM, CAM, CDM"
Gayà,Spain,80,LB
S. El Shaarawy,Italy,80,LW
R. Lukaku,Belgium,80,ST
Danilo,Brazil,80,RB
N. Maksimović,Serbia,80,CB
Muniaín,Spain,80,LW
G. Töre,Turkey,80,"RM, LM"
S. Aurier,Ivory Coast,80,"RB, CB"
Marc Bartra,Spain,80,"CB, RB"
B. Martins Indi,Netherlands,80,CB
K. Volland,Germany,80,"RM, ST, CF"
A. Carrillo,Peru,80,"RM, LM"
D. Berardi,Italy,80,"RW, CF"
G. Wijnaldum,Netherlands,80,"CAM, CM"
Y. Brahimi,Algeria,80,"LW, RW"
R. Bürki,Switzerland,80,GK
K. Strootman,Netherlands,80,CM
E. Mangala,France,80,CB
D. Blind,Netherlands,80,"CDM, LB, CM"
X. Shaqiri,Switzerland,80,"RM, CAM, LM"
Víctor Ruíz,Spain,80,CB
P. Jones,England,80,"CB, RB"
Iñigo Martínez,Spain,80,CB
A. Samaris,Greece,80,CDM
Fábio Coentrão,Portugal,80,LB
Sergio Asenjo,Spain,80,GK
P. Piatti,Argentina,80,"LW, LM, CF, RW"
Adrien Silva,Portugal,80,CM
Mikel San José,Spain,80,"CB, CDM, CM"
M. Balotelli,Italy,80,ST
Maurício,Brazil,80,CB
I. Smolnikov,Russia,80,RB
J. McCarthy,Republic of Ireland,80,"CDM, CM"
S. Rondón,Venezuela,80,ST
De Marcos,Spain,80,"RB, CAM"
E. Salvio,Argentina,80,RM
Maicon,Brazil,80,CB
H. Badstuber,Germany,80,"CB, LB"
A. Schürrle,Germany,80,"LM, RM, CF"
J. Matip,Cameroon,80,"CB, CDM"
O. Shatov,Russia,80,"LW, CAM, RW"
N. Subotić,Serbia,80,CB
K. Gibbs,England,80,LB
R. Zieler,Germany,80,GK
F. Djordjevic,Serbia,80,ST
O. Kıvrak,Turkey,80,GK
T. Jantschke,Germany,80,"CB, RB"
Aderllan Santos,Brazil,80,CB
M. Bradley,United States,80,"CM, CDM, CAM"
Javi García,Spain,80,"CDM, CM, CB"
D. Criscito,Italy,80,LB
S. Bender,Germany,80,CDM
Daniel Carriço,Portugal,80,"CB, CDM"
B. Natcho,Israel,80,"CM, CDM"
R. Keane,Republic of Ireland,80,ST
F. Totti,Italy,80,"CF, LW"
T. Rosický,Czech Republic,80,"CAM, RM"
T. Howard,United States,80,GK
M. Carrick,England,80,"CM, CDM"
José Reina,Spain,80,GK
S. Mauri,Italy,80,"CAM, LW, CM"
Z. Tošić,Serbia,80,RM
Iraola,Spain,80,"RB, CB"
David Villa,Spain,80,ST
C. Carrasso,France,80,GK
S. İnan,Turkey,80,"CM, CDM"
Maicon,Brazil,80,RB
Fernandinho,Brazil,80,"CM, CDM"
S. Kießling,Germany,80,ST
M. Vorm,Netherlands,80,GK
J. Milner,England,80,"CM, RM, LM"
F. Marchetti,Italy,80,GK
G. Ochoa,Mexico,80,GK
G. Rodríguez,Argentina,80,CB
V. Demirel,Turkey,80,GK
Javi Fuego,Spain,80,"CDM, CM, CB"
Jesús Navas,Spain,80,RM
Gabi,Spain,80,CM
I. Denisov,Russia,80,CDM
D. Agger,Denmark,80,CB
G. Clichy,France,80,LB
A. Young,England,80,"LM, LWB"
R. Palacio,Argentina,80,ST
T. Vermaelen,Belgium,80,"CB, LB"
J. Farfán,Peru,80,"CAM, RM"
M. Debuchy,France,80,RB
G. Inler,Switzerland,80,"CDM, CM"
E. Lavezzi,Argentina,80,"LW, RW"
Trashorras,Spain,80,"CM, CDM"
R. Montolivo,Italy,80,"CM, CDM"
Llorente,Spain,80,ST
M. Dembélé,Belgium,80,"CM, CDM"
G. Rossi,Italy,80,ST
L. Diarra,France,80,"CDM, CM"
M. Boussoufa,Morocco,80,CAM
J. Błaszczykowski,Poland,80,RM
D. Basta,Serbia,80,"RB, RM"
R. Shirokov,Russia,80,"CM, CAM"
Jardel,Brazil,80,CB
F. Guarín,Colombia,80,CM
R. Shawcross,England,80,CB
Gervinho,Ivory Coast,80,"LW, RW"
A. Guardado,Mexico,80,"CM, CDM"
K. Mirallas,Belgium,80,"LM, RM"
Coke,Spain,80,RB
Vieirinha,Portugal,80,"RM, RB"
Beñat,Spain,80,"CM, CDM"
Nacho Monreal,Spain,80,"LB, CB"
J. Hernández,Mexico,80,ST
B. Ivanović,Serbia,80,RB
A. Lallana,England,80,"CAM, RW, LM"
V. Ćorluka,Croatia,80,CB
M. Pereira,Uruguay,80,RB
B. Dzsudzsák,Hungary,80,"LM, RM"
Roberto,Spain,80,GK
Ramires,Brazil,80,"CDM, CM"
Taison,Brazil,80,"CAM, LW"
M. Baša,Montenegro,80,CB
R. Barkley,England,79,"CAM, LM"
T. Horn,Germany,79,GK
Felipe Anderson,Brazil,79,"LW, RW, CAM"
Óliver Torres,Spain,79,"CAM, RM, CM"
J. Geis,Germany,79,"CDM, CM"
L. Vietto,Argentina,79,ST
G. Rulli,Argentina,79,GK
Bernardo Silva,Portugal,79,"RM, CAM, CM"
A. Oxlade-Chamberlain,England,79,"RM, RW"
Danilo Pereira,Portugal,79,CDM
M. Icardi,Argentina,79,ST
D. Klaassen,Netherlands,79,"CAM, CM"
S. Umtiti,France,79,"CB, LB"
Manu Trigueros,Spain,79,"CM, CAM"
Paulo Oliveira,Portugal,79,CB
N. Fékir,France,79,"ST, CAM, RW, LW"
J. Henderson,England,79,"CM, CDM, RM"
K. Papadopoulos,Greece,79,CB
D. Welbeck,England,79,"ST, LM"
C. Smalling,England,79,"CB, RB"
A. Ljajić,Serbia,79,"LW, RW"
Illarramendi,Spain,79,"CM, CDM"
Mario Gaspar,Spain,79,RB
Rodrigo,Spain,79,"RW, ST, LW, CF"
V. Aboubakar,Cameroon,79,ST
Cristian Tello,Spain,79,"RW, LW"
P. Ntep,France,79,"LM, LW"
C. Kramer,Germany,79,"CDM, CM"
M. Nastasić,Serbia,79,CB
H. Çalhanoğlu,Turkey,79,"CAM, CF, CM"
E. Lamela,Argentina,79,"RM, CAM"
E. Insua,Argentina,79,LB
S. N'Zonzi,France,79,"CDM, CM"
K. Walker,England,79,RB
Jonathas,Brazil,79,ST
Iago Falqué,Spain,79,"RW, LW"
Canales,Spain,79,"CAM, LM, LW"
Mário Fernandes,Brazil,79,RB
Neto,Brazil,79,GK
Montoya,Spain,79,RB
Juan Jesus,Brazil,79,"CB, LB"
Rafinha,Brazil,79,"CM, RW, RM, LW"
Bernat,Spain,79,"LB, LM"
R. Elm,Sweden,79,CDM
G. dos Santos,Mexico,79,"ST, CF, LW, RW"
A. Ayew,Ghana,79,"LM, CM"
M. Gradel,Ivory Coast,79,"LW, RW, ST"
D. Perotti,Argentina,79,"LW, RW"
W. Szczęsny,Poland,79,GK
K. Asamoah,Ghana,79,"LM, CM"
A. Dzagoev,Russia,79,"LM, CDM, CAM, RM"
L. de Jong,Netherlands,79,ST
C. Immobile,Italy,79,ST
W. Khazri,Tunisia,79,"CAM, LM"
Pizzi,Portugal,79,"CAM, CM, RM"
S. Rode,Germany,79,"CDM, CM, RB"
N. Chadli,Belgium,79,"LM, LW"
A. Mandi,Algeria,79,"RB, CB"
Aleix Vidal,Spain,79,"RM, LM, RB"
Joãozinho,Brazil,79,"LM, LW, LB"
F. Vázquez,Italy,79,"CF, CAM"
Bruno Peres,Brazil,79,RWB
A. Taarabt,Morocco,79,"CAM, LM"
F. Di Santo,Argentina,79,ST
L. Stindl,Germany,79,"CAM, CM, RM"
A. Dzyuba,Russia,79,ST
Jefferson,Brazil,79,LB
R. Cabella,France,79,"RM, CAM, LM, ST"
D. Lovren,Croatia,79,CB
D. Tadić,Serbia,79,"LM, RM, CAM"
F. Mancuello,Argentina,79,CM
A. Consigli,Italy,79,GK
Mario Suárez,Spain,79,"CM, CDM"
H. Moreno,Mexico,79,CB
Z. Junuzović,Austria,79,"CM, CAM, CDM, LM"
S. Tasci,Germany,79,CB
C. Beauvue,France,79,"ST, LM, RM"
Marlos,Brazil,79,"CAM, LW, RW"
S. Doumbia,Ivory Coast,79,ST
B. Dost,Netherlands,79,ST
Balenziaga,Spain,79,LB
L. Sané,Senegal,79,"CB, CDM"
R. Hamouma,France,79,"RM, RW, CAM"
K. Navas,Costa Rica,79,GK
R. Weidenfeller,Germany,79,GK
M. De Sanctis,Italy,79,GK
F. Lampard,England,79,"CM, CDM, CAM"
G. Barry,England,79,CDM
S. Eto'o,Cameroon,79,ST
S. Keita,Mali,79,"CDM, CM"
P. Mexès,France,79,CB
F. Coloccini,Argentina,79,CB
K. Kurányi,Germany,79,ST
Fernando Torres,Spain,79,ST
J. Defoe,England,79,ST
Maxwell,Brazil,79,LB
A. Aquilani,Italy,79,CM
Gurpegi,Spain,79,CB
Reyes,Spain,79,"RM, LM"
Iraizoz,Spain,79,GK
Rubén Castro,Spain,79,"ST, LM"
A. Di Natale,Italy,79,ST
A. Meier,Germany,79,"ST, CF, CAM"
R. Adler,Germany,79,GK
B. Yılmaz,Turkey,79,ST
M. Topal,Turkey,79,CDM
Diego,Brazil,79,CAM
D. Baier,Germany,79,CDM
O. Martins,Nigeria,79,ST
Bruno Alves,Portugal,79,CB
E. Spahić,Bosnia Herzegovina,79,CB
D. Milito,Argentina,79,ST
A. Pyatov,Ukraine,79,GK
Arbeloa,Spain,79,"RB, LB"
Soldado,Spain,79,ST
A. Samedov,Russia,79,"RM, CAM, RW"
V. Berezutskiy,Russia,79,CB
C. Jallet,France,79,RB
R. Mavuba,France,79,CDM
A. Granqvist,Sweden,79,CB
J. Valdivia,Chile,79,"CAM, CF"
A. Song,Cameroon,79,"CDM, CM"
M. Krohn-Dehli,Denmark,79,"CM, CDM"
F. Quagliarella,Italy,79,ST
H. Ben Arfa,France,79,"RM, CAM, RW, ST"
B. Foster,England,79,GK
A. Raggi,Italy,79,"CB, RB"
Y. Kaboul,France,79,CB
B. Sagna,France,79,RB
Adriano,Brazil,79,LB
S. Radu,Romania,79,LB
N. Pareja,Argentina,79,CB
G. Paletta,Italy,79,CB
A. Valencia,Ecuador,79,"RM, RB, RWB"
Y. Cabaye,France,79,"CDM, CM"
R. Riou,France,79,GK
M. Richards,England,79,"CB, RB"
T. Krul,Netherlands,79,GK
D. Astori,Italy,79,CB
C. Ansaldi,Argentina,79,LB
Lucas Leiva,Brazil,79,"CDM, CM"
K. Gameiro,France,79,ST
A. Fernández,Argentina,79,"CM, CDM"
B. Ruíz,Costa Rica,79,"LM, RM, CAM"
Eder,Italy,79,"LW, CF"
J. Lens,Netherlands,79,LW
Rhodolfo,Brazil,79,CB
Luiz Adriano,Brazil,79,ST
A. Rami,France,79,CB
A. Ogbonna,Italy,79,CB
A. Kolarov,Serbia,79,LB
F. Orellana,Chile,79,"RW, CM, CAM"
T. Gutiérrez,Colombia,79,ST
E. Pérez,Argentina,79,"CM, CDM"
L. Shaw,England,78,LB
P. Dybala,Argentina,78,ST
D. Rugani,Italy,78,CB
M. Meyer,Germany,78,"CAM, CM"
N. Süle,Germany,78,CB
J. Willems,Netherlands,78,LB
M. Kovačić,Croatia,78,CM
Fabinho,Brazil,78,"RB, CDM"
J. Giménez,Uruguay,78,CB
Hugo Mallo,Spain,78,RB
Sergi Roberto,Spain,78,"CM, RB, CDM"
Deulofeu,Spain,78,"RM, RW"
Jesé,Spain,78,"LM, ST, RM"
D. Baselli,Italy,78,"CM, CDM"
Fred,Brazil,78,"CM, CDM, CAM"
A. Baba,Ghana,78,"LB, LM"
F. Schär,Switzerland,78,CB
S. Boufal,Morocco,78,"CAM, RM, LM"
João Mário,Portugal,78,CM
Danilo,Brazil,78,"CDM, CM"
A. Dragović,Austria,78,"CB, CDM"
F. Coquelin,France,78,"CDM, CM"
M. Gabbiadini,Italy,78,"CAM, CF, RW"
K. Koulibaly,Senegal,78,CB
G. Kondogbia,France,78,"CDM, CM"
H. Kane,England,78,"ST, CF"
L. Karius,Germany,78,GK
Bernard,Brazil,78,"CAM, LW"
D. Cheryshev,Russia,78,"LM, LW"
Y. Ferreira Carrasco,Belgium,78,LM
S. Mané,Senegal,78,"CF, LM, LW, RM"
Rafa,Portugal,78,LM
J. dos Santos,Mexico,78,"RM, CM, CDM"
Y. M'Vila,France,78,"CDM, CM"
M. Ekici,Turkey,78,"CAM, CM"
J. Zoet,Netherlands,78,GK
M. Ryan,Australia,78,GK
Gabriel,Brazil,78,CB
Samuel,Spain,78,"RM, ST"
F. Ghoulam,Algeria,78,LB
S. Zaza,Italy,78,ST
T. Hazard,Belgium,78,"LM, CAM, CF"
M. Batshuayi,Belgium,78,ST
Leo Baptistao,Brazil,78,ST
J. Quintero,Colombia,78,CAM
Y. Lodygin,Russia,78,GK
C. Erkin,Turkey,78,"LB, LM"
M. Sissoko,France,78,"CAM, CM, RM"
M. Arnautović,Austria,78,"LM, RM"
C. Grenier,France,78,"CAM, CM"
G. Bonaventura,Italy,78,"CM, LW"
A. Kokorin,Russia,78,"ST, CAM"
W. Ben Yedder,France,78,"ST, CF"
Cédric,Portugal,78,RB
G. Ramírez,Uruguay,78,"CAM, RM"
E. Vargas,Chile,78,"RM, ST"
N. Ghilas,Algeria,78,"ST, RW"
F. Pardo,Colombia,78,"RW, LW"
R. Bertrand,England,78,LB
D. Ospina,Colombia,78,GK
A. Carroll,England,78,ST
G. Sigurðsson,Iceland,78,"CAM, LM"
I. Popov,Bulgaria,78,"CAM, LM"
Álvaro Domínguez,Spain,78,"CB, LB"
M. Destro,Italy,78,ST
O. Baumann,Germany,78,GK
Baena,Spain,78,"CDM, CM"
Y. Rakitskyi,Ukraine,78,CB
Mexer,Mozambique,78,CB
N. Lodeiro,Uruguay,78,CAM
J. Guilavogui,France,78,"CDM, CM"
Tomás Pina,Spain,78,"CM, CDM"
C. Aránguiz,Chile,78,"CM, CDM, RM"
J. Clasie,Netherlands,78,CDM
André André,Portugal,78,"CM, CDM"
F. Fernández,Argentina,78,CB
V. Ibarbo,Colombia,78,"RW, LW"
Ewerton,Brazil,78,CB
F. Caicedo,Ecuador,78,ST
M. Yanga-M'Biwa,France,78,"CB, RB"
V. Stocker,Switzerland,78,"CAM, LM"
E. Choupo-Moting,Cameroon,78,"ST, LM, RM"
I. Traoré,Guinea,78,"RM, LM"
G. van der Wiel,Netherlands,78,RB
T. Heurtaux,France,78,"CB, RB"
S. Reinartz,Germany,78,"CDM, CB"
Susaeta,Spain,78,RW
Miguel Rosa,Portugal,78,LM
D. Caligiuri,Italy,78,"LM, RM"
I. Slimani,Algeria,78,ST
I. Khune,South Africa,78,GK
R. Shishkin,Russia,78,"RB, CDM"
A. Ranocchia,Italy,78,CB
A. Modeste,France,78,ST
J. Biabiany,France,78,"RW, LW, RM"
Lucas Pérez,Spain,78,"CAM, ST, RM"
Ricardo Carvalho,Portugal,78,CB
D. Kuyt,Netherlands,78,"RW, ST"
C. Samba,Congo,78,CB
E. Moretti,Italy,78,CB
C. Kameni,Cameroon,78,GK
K. Touré,Ivory Coast,78,CB
Lee Dong Gook,Korea Republic,78,ST
R. Huth,Germany,78,CB
E. Cambiasso,Argentina,78,"CM, CDM"
W. Caballero,Argentina,78,GK
G. Denis,Argentina,78,ST
J. Sosa,Argentina,78,"CAM, RM, CF, CM"
I. Uche,Nigeria,78,ST
Mikel Rico,Spain,78,"CM, CDM, CAM"
Xabi Prieto,Spain,78,"RW, CAM, RM"
M. Gomez,Germany,78,ST
Hilton,Brazil,78,CB
Y. Zhirkov,Russia,78,"LM, LB, LW"
S. Dann,England,78,CB
C. Gentner,Germany,78,"CM, CDM, CAM"
Jesús Gámez,Spain,78,"LB, RB"
O. Kucher,Ukraine,78,CB
N. Lombaerts,Belgium,78,CB
B. Guzan,United States,78,GK
L. Fabiański,Poland,78,GK
L. Refaelov,Israel,78,"RW, CAM, LW"
E. Polanski,Poland,78,"CDM, CM"
A. Johnson,England,78,"RM, LM"
Danilo,Brazil,78,CB
A. Kasaev,Russia,78,"LM, CAM"
F. Higuaín,Argentina,78,CAM
I. Abate,Italy,78,RB
E. Viviano,Italy,78,GK
Rafinha,Brazil,78,RB
K. Vermeer,Netherlands,78,GK
J. Evans,Northern Ireland,78,CB
C. Tioté,Ivory Coast,78,"CDM, CM"
Nilson,Brazil,78,GK
De la Bella,Spain,78,LB
J. Basanta,Argentina,78,CB
D. Valeri,Argentina,78,"CAM, RW"
Carlos Martínez,Spain,78,RB
Varela,Portugal,78,"LW, RW"
L. Cigarini,Italy,78,CM
Siqueira,Brazil,78,LB
S. Mignolet,Belgium,78,GK
K. Boateng,Ghana,78,"CM, CAM, CDM"
Pedro León,Spain,78,RM
W. Reid,New Zealand,78,CB
A. Ramos,Colombia,78,ST
P. Wernbloom,Sweden,78,CDM
M. Berg,Sweden,78,"ST, CF"
M. Fellaini,Belgium,78,"CM, CDM"
Weligton,Brazil,78,CB
P. Cissé,Senegal,78,ST
C. Zapata,Colombia,78,CB
P. Osvaldo,Italy,78,ST
M. Sall,Senegal,78,CB
Y. Mulumbu,DR Congo,78,"CDM, CM"
O. Cardozo,Paraguay,78,ST
F. Fazio,Argentina,78,CB
D. N'Doye,Senegal,78,ST
