short_name,nationality,overall,player_positions
M. Benatia,Morocco,86,CB
M. Pjanić,Bosnia Herzegovina,86,"CM, CDM"
I. Perišić,Croatia,86,LM
J. Boateng,Germany,86,CB
L. Bonucci,Italy,86,CB
Thiago,Spain,86,"CM, CAM, CDM"
Parejo,Spain,86,"CM, CAM, CDM"
T. Müller,Germany,86,"CF, RW, CAM, ST"
Douglas Costa,Brazil,86,"LM, RW, LW"
Alex Sandro,Brazil,86,"LB, LM"
N. Matić,Serbia,86,"CDM, CM"
N. Otamendi,Argentina,86,CB
Marco Asensio,Spain,85,"LW, CAM, RW"
M. Škriniar,Slovakia,85,CB
Saúl,Spain,85,"CM, LM, RM"
Alisson,Brazil,85,GK
S. Milinković-Savić,Serbia,85,"CM, CAM"
Fabinho,Brazil,85,CDM
N. Fekir,France,85,"CAM, ST"
R. Sterling,England,85,"RW, LW, CF"
J. Kimmich,Germany,85,"RB, CM, CB, CDM"
K. Manolas,Greece,85,CB
D. Alaba,Austria,85,"LB, CB, CM"
V. van Dijk,Netherlands,85,CB
T. Alderweireld,Belgium,85,CB
Koke,Spain,85,"LM, CM, RM"
A. Robben,Netherlands,85,"RM, RW"
Z. Ibrahimović,Sweden,85,ST
Pepe,Portugal,85,CB
V. Kompany,Belgium,85,CB
F. Ribéry,France,85,"LM, LW"
Filipe Luís,Brazil,85,LB
Falcao,Colombia,85,ST
Miranda,Brazil,85,CB
B. Matuidi,France,85,"CDM, CM"
R. Nainggolan,Belgium,85,"CM, CAM"
Diego Costa,Spain,85,ST
S. Khedira,Germany,85,"CM, CDM"
E. Džeko,Bosnia Herzegovina,85,ST
A. Vidal,Chile,85,"CDM, CM"
Y. Brahimi,Algeria,85,LM
Paulinho,Brazil,85,"CM, CAM, CDM, RM"
M. Reus,Germany,85,"LM, CAM, ST, LW"
Iago Aspas,Spain,85,"RW, ST"
R. Mahrez,Algeria,85,"RW, RM"
D. Alli,England,84,CAM
N. Süle,Germany,84,CB
Bernardo Silva,Portugal,84,"RW, CAM"
M. Perin,Italy,84,GK
Marquinhos,Brazil,84,"CB, CDM"
D. Sánchez,Colombia,84,CB
J. Giménez,Uruguay,84,"CB, RB"
B. Leno,Germany,84,GK
Sergi Roberto,Spain,84,"RB, RM"
Carvajal,Spain,84,RB
F. Thauvin,France,84,"RM, RW"
Jorginho,Italy,84,CM
Alex Telles,Brazil,84,LB
W. Szczęsny,Poland,84,GK
S. de Vrij,Netherlands,84,CB
A. Lopes,Portugal,84,GK
William Carvalho,Portugal,84,"CDM, CM"
Sergio Asenjo,Spain,84,GK
I. Gündoğan,Germany,84,"CM, CDM"
A. Lacazette,France,84,ST
Neto,Brazil,84,GK
Rodrigo,Spain,84,"ST, RW, LW"
H. Son,Korea Republic,84,"LM, ST"
Quaresma,Portugal,84,"RM, LM"
A. Barzagli,Italy,84,CB
A. Gómez,Argentina,84,"CF, LW, ST"
Raúl Albiol,Spain,84,CB
M. Dembélé,Belgium,84,"CM, CDM"
Cesc Fàbregas,Spain,84,"CM, CDM"
K. Schmeichel,Denmark,84,GK
K. Benzema,France,84,ST
S. Ruffier,France,84,GK
Sokratis,Greece,84,CB
Jonas,Brazil,84,ST
D. Payet,France,84,"CAM, LM"
Javi Martínez,Spain,84,"CDM, CB"
Willian,Brazil,84,"RW, RM"
M. Mandžukić,Croatia,84,"ST, LW"
A. Di María,Argentina,84,"RW, LW"
José Callejón,Spain,84,RW
K. Walker,England,84,"RB, RWB, CB"
Illarramendi,Spain,84,"CM, CDM"
L. Hrádecký,Finland,84,GK
H. Mkhitaryan,Armenia,84,"CAM, RW, RM, LM"
J. Cuadrado,Colombia,84,"RM, RW"
Gabriel Jesus,Brazil,83,ST
Kepa,Spain,83,GK
Malcom,Brazil,83,RW
M. Kovačić,Croatia,83,CM
A. Martial,France,83,"LW, ST, LM"
T. Lemar,France,83,"LM, CAM"
P. Kimpembe,France,83,CB
M. Depay,Netherlands,83,"ST, LW"
L. Goretzka,Germany,83,"CM, CAM, CDM"
A. Laporte,France,83,CB
J. Tah,Germany,83,CB
C. Tolisso,France,83,"CM, CDM"
N. Keïta,Guinea,83,"CM, CDM, CAM"
T. Horn,Germany,83,GK
A. Rabiot,France,83,"CM, CDM"
Samu Castillejo,Spain,83,"RM, LM, CM"
T. Werner,Germany,83,ST
Bruno Fernandes,Portugal,83,"CAM, CM"
K. Coman,France,83,"LM, RM, LW, RW"
Gonçalo Guedes,Portugal,83,"LM, ST, RM, LW"
Willian José,Brazil,83,ST
Danilo Pereira,Portugal,83,"CDM, CB, CM"
Morata,Spain,83,ST
J. Draxler,Germany,83,"CM, LW, LM, CAM"
S. Savić,Montenegro,83,CB
J. Pickford,England,83,GK
Manu Trigueros,Spain,83,"CM, CDM, LM"
Y. Carrasco,Belgium,83,LM
Nacho Fernández,Spain,83,"CB, LB, RB"
Gerard Moreno,Spain,83,ST
R. Fährmann,Germany,83,GK
O. Baumann,Germany,83,GK
Q. Promes,Netherlands,83,"LM, ST, RM"
Pepe Reina,Spain,83,GK
D. De Rossi,Italy,83,CDM
Aduriz,Spain,83,ST
S. Mandanda,France,83,GK
E. Viviano,Italy,83,GK
Lucas Leiva,Brazil,83,"CDM, CB"
Rui Patrício,Portugal,83,GK
Adán,Spain,83,GK
Juan Mata,Spain,83,"RM, RW, CAM"
E. Banega,Argentina,83,"CAM, CM, CDM"
David Luiz,Brazil,83,CB
Giuliano,Brazil,83,"CAM, RW"
Luiz Gustavo,Brazil,83,"CDM, CB"
M. Balotelli,Italy,83,ST
B. Dost,Netherlands,83,ST
S. Kagawa,Japan,83,"CAM, CM, CF"
K. Strootman,Netherlands,83,"CM, CDM"
K. Glik,Poland,83,CB
D. Subašić,Croatia,83,GK
Pizzi,Portugal,83,CM
Felipe,Brazil,83,CB
Lucas Vázquez,Spain,83,"RW, RM"
Louri Beretta,Brazil,83,"ST, CF"
Josué Chiamulera,Brazil,83,CB
Ronaldo Cabrais,Brazil,83,"RW, CAM"
G. Donnarumma,Italy,82,GK
O. Dembélé,France,82,"RW, LW, CM"
Arthur,Brazil,82,"CM, CDM"
A. Romagnoli,Italy,82,CB
Anderson Talisca,Brazil,82,"CAM, CF, CM"
A. Christensen,Denmark,82,CB
C. Lenglet,France,82,CB
L. Hernández,France,82,"LB, CB"
L. Bailey,Jamaica,82,"LM, RM"
S. Gnabry,Germany,82,"LM, ST, CAM, LW"
T. Partey,Ghana,82,"CDM, CM, RM, RB"
J. Brandt,Germany,82,"LM, RM, CAM"
Luis Alberto,Spain,82,"CF, CAM, CM"
Rafinha,Brazil,82,"CAM, CM"
Suso,Spain,82,"RW, CF"
J. Stones,England,82,CB
A. Belotti,Italy,82,ST
F. Bernardeschi,Italy,82,"RM, CF"
Pau López,Spain,82,GK
E. Bailly,Ivory Coast,82,CB
Gelson Martins,Portugal,82,RM
Rodri,Spain,82,"CM, CDM"
H. Ziyech,Morocco,82,"CAM, RW"
D. Rugani,Italy,82,CB
M. Götze,Germany,82,"CM, CAM, CF"
K. Casteels,Belgium,82,GK
W. Zaha,Ivory Coast,82,"CF, LM, RM"
G. Kondogbia,France,82,"CM, CDM"
Felipe Anderson,Brazil,82,"LM, CF, RM"
Fred,Brazil,82,"CM, CDM"
J. Pavlenka,Czech Republic,82,GK
S. Mustafi,Germany,82,CB
H. Maguire,England,82,CB
E. Forsberg,Sweden,82,"CAM, LM"
Y. Sommer,Switzerland,82,GK
G. Wijnaldum,Netherlands,82,CM
O. Toprak,Turkey,82,CB
A. Ramsey,Wales,82,"CM, CDM, CAM"
Oscar,Brazil,82,"CAM, CM"
Marcos Alonso,Spain,82,"LB, LWB"
Víctor Ruiz,Spain,82,CB
S. Coates,Uruguay,82,CB
Bartra,Spain,82,"CB, RB"
C. Bakambu,DR Congo,82,ST
Lucas,Brazil,82,"RM, LM"
Gabriel Paulista,Brazil,82,"CB, RB"
T. Meunier,Belgium,82,"RB, RM"
S. Zaza,Italy,82,ST
A. Florenzi,Italy,82,"RB, RW, CM"
J. Lingard,England,82,"CAM, RW, CM"
Dani García,Spain,82,"CDM, CM"
A. Kramarić,Croatia,82,"ST, LW, RW"
J. Seri,Ivory Coast,82,"CM, CDM"
Casillas,Spain,82,GK
Joaquín,Spain,82,"RM, LM, ST"
P. Čech,Czech Republic,82,GK
R. Jarstein,Norway,82,GK
David Villa,Spain,82,ST
Dani Alves,Brazil,82,RB
L. Biglia,Argentina,82,"CDM, CM"
A. Consigli,Italy,82,GK
L. Koscielny,France,82,CB
A. Valencia,Ecuador,82,RB
S. Sirigu,Italy,82,GK
Jardel,Brazil,82,CB
E. Garay,Argentina,82,CB
A. Guardado,Mexico,82,"CM, CDM"
D. Wass,Denmark,82,"CM, RM, LM"
Marcano,Spain,82,CB
A. Witsel,Belgium,82,"CM, CDM"
L. Bender,Germany,82,"RB, CDM, CM"
O. Giroud,France,82,ST
F. Fazio,Argentina,82,CB
V. Ćorluka,Croatia,82,CB
A. Rami,France,82,CB
L. Fejsa,Serbia,82,CDM
M. Parolo,Italy,82,"CDM, CM"
M. Kruse,Germany,82,"CF, ST, CAM"
J. Henderson,England,82,"CDM, CM"
N. Gaitán,Argentina,82,CAM
M. Arnautović,Austria,82,"ST, LM"
S. Giovinco,Italy,82,"CF, ST"
A. Kolarov,Serbia,82,"LB, CB"
K. Trippier,England,82,"RB, RWB"
Marlos,Ukraine,82,RM
S. Nzonzi,France,82,"CDM, CM"
Taison,Brazil,82,"LM, CAM"
G. Bonaventura,Italy,82,"CM, LW"
Pedro,Spain,82,"RW, LW"
J. Pastore,Argentina,82,"CM, LW, RW"
Ander Herrera,Spain,82,"CM, CDM"
I. Gueye,Senegal,82,"CDM, CM"
Mário Fernandes,Russia,82,"RWB, RM"
K. Kampl,Slovenia,82,"CM, CAM, CDM"
Jonathan Viera,Spain,82,"CAM, CM"
F. Acerbi,Italy,82,CB
Allan,Brazil,82,CM
E. Višća,Bosnia Herzegovina,82,RM
F. Vázquez,Italy,82,"CAM, CM, RW, LW"
C. Bacca,Colombia,82,ST
J. Vardy,England,82,ST
Raphaelito Anjos,Brazil,82,GK
Juiano Mestres,Brazil,82,"CB, CDM"
Rosberto Dourado,Brazil,82,"CDM, CM"
M. Rashford,England,81,"LW, ST, LM"
Grimaldo,Spain,81,LB
B. Mendy,France,81,"LB, LWB"
A. Doucouré,France,81,"CDM, CM"
João Cancelo,Portugal,81,RB
Williams,Spain,81,"ST, RW, LW"
J. Butland,England,81,GK
Ricardo Pereira,Portugal,81,"RB, RM, LB"
G. Rulli,Argentina,81,GK
A. Robertson,Scotland,81,LB
Pablo Fornals,Spain,81,"CAM, CM, LM, RM"
M. Lanzini,Argentina,81,"CAM, CM, LM"
A. Areola,France,81,GK
J. Murillo,Colombia,81,CB
M. Batshuayi,Belgium,81,ST
E. Hysaj,Albania,81,RB
Fabián,Spain,81,"CM, CDM, CAM"
R. Bürki,Switzerland,81,GK
S. Aurier,Ivory Coast,81,RB
G. Xhaka,Switzerland,81,"CM, CDM"
B. Lecomte,France,81,GK
S. Vrsaljko,Croatia,81,"RB, LB"
M. Sabitzer,Austria,81,"CAM, ST"
M. Nastasić,Serbia,81,CB
A. Rüdiger,Germany,81,CB
B. Davies,Wales,81,"LB, LWB"
J. Martínez,Venezuela,81,ST
João Mário,Portugal,81,"CAM, LW, CM, RM"
S. El Shaarawy,Italy,81,"LW, RW"
J. Corona,Mexico,81,RM
J. Matip,Cameroon,81,CB
J. Cillessen,Netherlands,81,GK
K. Volland,Germany,81,"ST, RW, LW"
Deulofeu,Spain,81,"RM, LM, RW"
T. Hazard,Belgium,81,"LM, RM, CF"
C. Smalling,England,81,CB
X. Shaqiri,Switzerland,81,"RW, RM, CAM"
D. Lovren,Croatia,81,CB
Pablo Sarabia,Spain,81,"RM, LM, LB, RW"
F. Ghoulam,Algeria,81,LB
C. Kramer,Germany,81,"CDM, CM"
J. Mathieu,France,81,"CB, LB"
J. Milner,England,81,"CM, LB"
Raffael,Brazil,81,"CF, ST"
M. Gómez,Germany,81,ST
H. Herrera,Mexico,81,CM
Manuel Fernandes,Portugal,81,"LM, CAM"
B. Gomis,France,81,ST
Borja Valero,Spain,81,"CAM, CDM"
João Moutinho,Portugal,81,"CM, CDM, CAM"
G. Cahill,England,81,CB
M. Škrtel,Slovakia,81,CB
Renato Augusto,Brazil,81,"CM, CAM, CDM, LM"
C. Vela,Mexico,81,"RW, LW, CAM, ST"
D. Criscito,Italy,81,"LB, CB"
A. Candreva,Italy,81,RM
L. Piszczek,Poland,81,"RB, CB"
K. Boateng,Ghana,81,"CM, ST, CAM, LM"
Pedro León,Spain,81,"RM, LM"
K. Gameiro,France,81,ST
M. Valbuena,France,81,"LW, LM, CAM"
S. Bender,Germany,81,"CB, CDM"
B. Höwedes,Germany,81,CB
Marcelo,Brazil,81,CB
A. Lallana,England,81,CM
A. Modeste,France,81,ST
F. Muslera,Uruguay,81,GK
D. Perotti,Argentina,81,"LW, CF"
Bruno,Spain,81,"CM, CDM"
G. Sigurðsson,Iceland,81,"CAM, LM, LW"
L. Stindl,Germany,81,CF
F. Smolov,Russia,81,ST
S. Rudy,Germany,81,"CM, CDM, RB"
Hulk,Brazil,81,"RM, CAM"
Iborra,Spain,81,"CDM, CM, CAM"
Guaita,Spain,81,GK
E. Salvio,Argentina,81,RW
Maicon,Brazil,81,CB
G. Medel,Chile,81,"CDM, CB"
S. Verdi,Italy,81,"RW, CAM"
C. Aránguiz,Chile,81,"CM, CDM"
W. Ben Yedder,France,81,"ST, CAM, LM"
Vitolo,Spain,81,"LM, RM"
J. Iličić,Slovenia,81,"CF, CAM"
S. Sané,Senegal,81,"CB, CDM"
Morales,Spain,81,"LM, RM, ST"
Laure Santeiro,Brazil,81,"CAM, LW"
M. de Ligt,Netherlands,80,CB
Odriozola,Spain,80,RB
A. Milik,Poland,80,ST
P. Zieliński,Poland,80,CM
T. Strakosha,Albania,80,GK
Oyarzabal,Spain,80,"LW, LM, RW"
Carlos Soler,Spain,80,"RM, CM, CAM"
A. Correa,Argentina,80,"RM, ST"
M. Caldara,Italy,80,CB
H. Lozano,Mexico,80,"RW, LW"
J. Weigl,Germany,80,"CDM, CM"
G. Lo Celso,Argentina,80,"CM, CAM, CDM"
B. Pavard,France,80,"CB, RB, CDM"
Nélson Semedo,Portugal,80,RB
A. Oxlade-Chamberlain,England,80,"CM, RM"
Héctor Bellerín,Spain,80,"RB, RWB"
J. Brooks,United States,80,CB
L. Paredes,Argentina,80,"CM, CDM"
E. Can,Germany,80,"CM, CDM"
M. Sanson,France,80,"CM, CDM, CAM"
André Gomes,Portugal,80,"CM, LM, RM"
Santi Mina,Spain,80,"ST, LW, RW"
Rony Lopes,Portugal,80,"RM, LM"
K. Baldé,Senegal,80,"RM, ST, LM"
T. Bakayoko,France,80,"CDM, CM"
Mariano,Dominican Republic,80,ST
C. Pavón,Argentina,80,"RW, ST, RM, LW"
W. Ndidi,Nigeria,80,"CDM, CM"
M. Gómez,Uruguay,80,ST
E. Dier,England,80,"CDM, CB"
Sergio Rico,Spain,80,GK
H. Çalhanoğlu,Turkey,80,"LW, CAM"
K. Demirbay,Germany,80,"CAM, CM"
F. Cervi,Argentina,80,LW
M. Almirón,Paraguay,80,CAM
Muniain,Spain,80,"LW, CAM, RW, LM"
J. Zoet,Netherlands,80,GK
R. Rodríguez,Switzerland,80,"LB, CB"
J. Tarkowski,England,80,CB
N. Pope,England,80,GK
S. Kolašinac,Bosnia Herzegovina,80,"LB, LWB, LM"
M. Brozović,Croatia,80,"CDM, CAM, CM"
M. Politano,Italy,80,"LW, ST, RW"
F. Balbuena,Paraguay,80,CB
V. Wanyama,Kenya,80,"CDM, CM"
J. Wilshere,England,80,"CM, CAM, CDM"
K. Vogt,Germany,80,CB
V. Aboubakar,Cameroon,80,ST
D. Sidibé,France,80,"RB, LB"
A. Pléa,France,80,"ST, RW"
M. Ginter,Germany,80,"CB, CDM"
E. Lamela,Argentina,80,"RM, LM"
M. Sakho,France,80,CB
Camacho,Spain,80,"CDM, CM, CB"
K. Trapp,Germany,80,GK
N. Clyne,England,80,RB
A. Ljajić,Serbia,80,"CAM, LW"
Mario Gaspar,Spain,80,"RB, CB"
C. Tosun,Turkey,80,ST
Hugo Mallo,Spain,80,RB
P. Jones,England,80,CB
L. Muriel,Colombia,80,ST
M. Uth,Germany,80,"ST, RW, RM"
J. Vestergaard,Denmark,80,CB
Portu,Spain,80,"RM, ST"
Bernard,Brazil,80,LM
M. Vecino,Uruguay,80,"CDM, CM"
K. Toko-Ekambi,Cameroon,80,"ST, LW, LM"
M. Acuña,Argentina,80,"LM, LB, RM"
Y. Touré,Ivory Coast,80,"CM, CDM"
S. Sorrentino,Italy,80,GK
Fernando Torres,Spain,80,ST
W. Rooney,England,80,ST
S. Lichtsteiner,Switzerland,80,"RB, RM"
Moyá,Spain,80,GK
B. Schweinsteiger,Germany,80,"CM, CB, CDM"
Nani,Portugal,80,"LM, RM, CAM"
D. Srna,Croatia,80,RB
A. Mirante,Italy,80,GK
J. Mascherano,Argentina,80,"CDM, CB"
Santi Cazorla,Spain,80,"CM, CDM, LM"
Diego López,Spain,80,GK
Juanfran,Spain,80,RB
I. Denisov,Russia,80,CDM
I. Akinfeev,Russia,80,GK
A. Young,England,80,"LB, LWB, RB"
A. Gignac,France,80,ST
A. Granqvist,Sweden,80,CB
Dante,Brazil,80,CB
L. Perrin,France,80,CB
F. Quagliarella,Italy,80,ST
T. Heaton,England,80,GK
L. Diarra,France,80,"CDM, CB"
L. Fabiański,Poland,80,GK
S. Radu,Romania,80,"CB, LB"
D. Rose,England,80,"LB, LWB"
S. Defour,Belgium,80,CM
Raúl García,Spain,80,CAM
D. Sturridge,England,80,ST
D. Valeri,Argentina,80,"CAM, CF"
S. Romero,Argentina,80,GK
V. Birsa,Slovenia,80,"CAM, RW"
I. Piatti,Argentina,80,"LW, CF, ST"
A. Fernández,Argentina,80,CM
Beñat,Spain,80,CM
Nacho Monreal,Spain,80,"LB, CB"
Ángel,Spain,80,ST
Kiko Casilla,Spain,80,GK
Fabricio,Spain,80,GK
Antunes,Portugal,80,LB
Alexandre Pato,Brazil,80,"ST, LW, CAM"
S. Coleman,Republic of Ireland,80,"RB, RWB"
S. Jovetić,Montenegro,80,ST
F. Delph,England,80,"LB, CM"
C. Stuani,Uruguay,80,"ST, RM"
M. Musacchio,Argentina,80,CB
S. Ulreich,Germany,80,GK
A. Dzagoev,Russia,80,"CM, CDM, CF"
R. Boudebouz,Algeria,80,"CAM, RM, ST"
N. Nkoulou,Cameroon,80,CB
Susaeta,Spain,80,"RW, LW"
B. Mee,England,80,CB
Iago Falqué,Spain,80,"RW, ST"
Kike García,Spain,80,ST
Y. Belhanda,Morocco,80,"CAM, LW"
D. Didavi,Germany,80,"CAM, CM"
A. Yarmolenko,Ukraine,80,"RM, RW"
Sergi Enrich,Spain,80,ST
Y. Rakitskyi,Ukraine,80,CB
D. Caligiuri,Italy,80,"RWB, RM, LM, LWB"
D. Vida,Croatia,80,"CB, RB"
D. Tadić,Serbia,80,"CAM, RW, LW"
Nolito,Spain,80,"LW, LM, ST, CAM"
Cristian Tello,Spain,80,"LM, RM"
M. Badelj,Croatia,80,"CDM, CM"
M. Rojo,Argentina,80,CB
K. Bellarabi,Germany,80,RM
E. Zahavi,Israel,80,"CAM, LM, RM, CF"
T. Inui,Japan,80,LM
Z. Feddal,Morocco,80,CB
T. Stepanenko,Ukraine,80,CDM
Raúl,Brazil,80,CB
M. Marega,Mali,80,"ST, RM"
Everton Andrão,Brazil,80,"CDM, CM"
Welington Dano,Brazil,80,"LB, LM"
Y. Tielemans,Belgium,79,"CM, CDM"
C. Pulisic,United States,79,"RM, LM, RW, LW"
K. Havertz,Germany,79,"CAM, RM, CF"
Rúben Neves,Portugal,79,CM
Marcos Llorente,Spain,79,CDM
David Neres,Brazil,79,"RW, LW, CAM"
Denis Suárez,Spain,79,"CM, LW, RW"
R. Zobnin,Russia,79,"CDM, CM, LM"
M. Dahoud,Germany,79,"CM, CDM"
L. Martínez,Argentina,79,ST
Raphinha,Brazil,79,"RM, LM"
V. Tsygankov,Ukraine,79,"RM, LM"
M. Elyounoussi,Norway,79,"LM, CAM, RM"
A. Sanabria,Paraguay,79,ST
V. Lindelöf,Sweden,79,CB
A. Golovin,Russia,79,"CM, CDM, LM"
L. Tousart,France,79,"CDM, CM"
Paco Alcácer,Spain,79,ST
A. Mandi,Algeria,79,CB
L. Shaw,England,79,LB
B. Traoré,Burkina Faso,79,"RW, ST"
N. Aké,Netherlands,79,CB
Gayà,Spain,79,"LB, LM"
N. Bentaleb,Algeria,79,"CM, CDM"
Ricardo Horta,Portugal,79,LM
J. Lerma,Colombia,79,"CDM, CM"
J. Gbamin,Ivory Coast,79,"CDM, CB, CM"
M. Philipp,Germany,79,"ST, LM, RM"
B. Verbič,Slovenia,79,"LM, RM"
Sergi Darder,Spain,79,"CM, CDM, RM"
L. Karius,Germany,79,GK
K. Rekik,Netherlands,79,CB
Jonny,Spain,79,"LWB, LB"
Bruma,Portugal,79,"CAM, LM"
M. Meyer,Germany,79,"CM, CAM, CDM"
Sérgio Oliveira,Portugal,79,"CM, CDM"
R. Barkley,England,79,"CAM, CM"
M. Gregoritsch,Austria,79,"CAM, ST"
J. Guidetti,Sweden,79,ST
Campaña,Spain,79,"CM, CDM, CAM"
L. Kurzawa,France,79,"LB, LWB"
L. Bittencourt,Germany,79,"LM, RM, CM"
D. Klaassen,Netherlands,79,"CM, CAM"
D. Baselli,Italy,79,CM
Leo Baptistao,Brazil,79,"ST, RM, LM"
M. Keane,England,79,CB
Pacheco,Spain,79,GK
N. Tagliafico,Argentina,79,"LB, CB"
L. Alario,Argentina,79,ST
Jemerson,Brazil,79,CB
Rafa,Portugal,79,RW
A. Rebić,Croatia,79,"ST, LW, LM"
G. Pezzella,Argentina,79,CB
M. Ryan,Australia,79,GK
M. van Ginkel,Netherlands,79,CM
P. Kadeřábek,Czech Republic,79,"RWB, RB, RM"
W. Orban,Germany,79,CB
L. Milivojević,Serbia,79,"CDM, CM"
Omar Mascarell,Spain,79,"CDM, CM"
R. Centurión,Argentina,79,"LM, CAM, LW, RM"
D. Zappacosta,Italy,79,"RB, RWB"
A. Lunev,Russia,79,GK
Sidnei,Brazil,79,CB
R. Zieler,Germany,79,GK
Y. M'Vila,France,79,"CDM, CM"
F. Coquelin,France,79,"CDM, CM, CB, LM"
Ricardo Goulart,Brazil,79,"CF, CAM, ST"
Y. Mallı,Turkey,79,"LM, CAM, CF"
T. Delaney,Denmark,79,"CM, CDM"
T. Cairney,Scotland,79,CM
J. Guilavogui,France,79,"CDM, CM"
Danilo,Brazil,79,"RB, LB"
S. Berghuis,Netherlands,79,"RW, LW"
G. Ramírez,Uruguay,79,CAM
J. Gouweleeuw,Netherlands,79,CB
D. Demme,Germany,79,"CDM, CM"
Álvaro,Spain,79,CB
Zé Luís,Cape Verde,79,ST
Iñigo Martínez,Spain,79,CB
I. Marcone,Argentina,79,CDM
R. Battaglia,Argentina,79,"CM, CDM"
M. Campaña,Uruguay,79,GK
M. Dmitrović,Serbia,79,GK
Soares,Brazil,79,ST
E. Adebayor,Togo,79,ST
R. Adler,Germany,79,GK
B. Yılmaz,Turkey,79,ST
D. Baier,Germany,79,CDM
Jesús Navas,Spain,79,"RM, RW, RB, RWB"
R. Babel,Netherlands,79,"LM, ST"
J. Farfán,Peru,79,"RM, ST"
S. Kalou,Ivory Coast,79,"LM, ST"
E. Lavezzi,Argentina,79,"ST, CAM, LW, RW"
D. Abraham,Argentina,79,CB
H. Ben Arfa,France,79,"CAM, ST"
Charles,Brazil,79,ST
T. Walcott,England,79,"RM, RW, LM"
A. Masiello,Italy,79,CB
R. Bertrand,England,79,"LB, LWB"
J. Cork,England,79,"CM, CDM"
N. Şahin,Turkey,79,"CDM, CM"
Fábio Coentrão,Portugal,79,LB
A. Begović,Bosnia Herzegovina,79,GK
S. Mignolet,Belgium,79,GK
C. Bravo,Chile,79,GK
P. Wernbloom,Sweden,79,CDM
M. Fellaini,Belgium,79,"CM, CDM"
M. Schneiderlin,France,79,"CDM, CM"
J. Hernández,Mexico,79,ST
Eder,Italy,79,ST
R. Vormer,Netherlands,79,"CM, RM"
S. Kjær,Denmark,79,CB
O. Karnezis,Greece,79,GK
N. Petersen,Germany,79,ST
G. Mercado,Argentina,79,"CB, RB"
P. Piatti,Argentina,79,LM
I. Traoré,Guinea,79,RM
Fernando,Brazil,79,"CDM, CM"
Adrien Silva,Portugal,79,CM
S. Feghouli,Algeria,79,"RM, RW, CAM"
Mariano,Brazil,79,RB
P. Gulácsi,Hungary,79,GK
N. Kalinić,Croatia,79,ST
D. Drinkwater,England,79,CM
K. Asamoah,Ghana,79,"LB, LM, CM"
I. Smolnikov,Russia,79,RB
Alex Teixeira,Brazil,79,"ST, CAM"
Souza,Brazil,79,"CDM, CM"
B. Hübner,Germany,79,CB
Rafael,Brazil,79,RB
De Marcos,Spain,79,"RB, RW, RWB"
M. Hitz,Switzerland,79,GK
Canales,Spain,79,"CAM, CM, RM, RW"
D. Blind,Netherlands,79,"CB, LB, CDM"
